User,Month,Score
115187824810131465,2025-02,10.0
346414277873369088,2025-02,10.0
347612966134349826,2025-02,16.0
215601322257416192,2025-02,12.0
486313701566054402,2025-02,12.0
504549436752527370,2025-03,15.0
215601322257416192,2025-03,25.0
201946036845936641,2025-03,30.0
346414277873369088,2025-03,43.0
347612966134349826,2025-03,32.0
115187824810131465,2025-03,8.0
486313701566054402,2025-03,9.0
665040143543173130,2025-03,11.0
99205062563233792,2025-03,18.0
200738797498007552,2025-03,7.0
486313701566054402,2025-04,3.0
665040143543173130,2025-04,3.0
223668602924957696,2025-04,5.0
99205062563233792,2025-04,5.0
115187824810131465,2025-04,5.0
215601322257416192,2025-04,5.0
200738797498007552,2025-04,6.0
504549436752527370,2025-04,4.0
347612966134349826,2025-04,15.0
201946036845936641,2025-04,26.0
346414277873369088,2025-04,27.0
